abuses,abusive/not abusive
badir,abusive
badirchand,abusive
bakhland,abusive
bakland,abusive
bhenkilodi,abusive
bhadva,abusive
bhootnika,abusive
chinar,abusive
chinarr,abusive
chinaal,abusive
chutiya,abusive 
chutiyaa,abusive
chutia,abusive
ghasti,abusive
chutiya,abusive
haraami,abusive
haraam,abusive
hijda,abusive
hijra,abusive
hinjda,abusive
jaanvar,abusive
kutta,abusive
kutiya,abusive
khota,abusive
auladheen,abusive
jaat,abusive
najayaz,abusive
gandpaidaish,abusive
saala,abusive
kutti,abusive
sooer,abusive
soover,abusive
tatti,abusive
potty,abusive
behenchod,abusive
bhenchod,abusive
bhen ki lodi ,abusive 
behen ki lodi,abusive
behen ka loda,abusive
bhen ka loda,abusive
bhen_ki_lodi,abusive
bahenchod,abusive
bahanchod,abusive
bahencho,abusive
bancho,abusive
bahenke,abusive
laude,abusive
takke,abusive
betichod,abusive
bhaichod,abusive
bhains,abusive
jhalla,abusive
jhant,abusive
nabaal,abusive
pissu,abusive
kutte,abusive
maadherchod,abusive
madarchod,abusive
padma,abusive
jaat,abusive
$$$rand,abusive
$$rand,abusive
rand,abusive
raand,abusive
jamai,abusive
randwa,abusive
randi,abusive
bachachod,abusive
bachichod,abusive
soower,abusive
bachchechod,abusive
ullu,abusive
pathe,abusive
banda,abusive
booblay,abusive
booby,abusive
buble,abusive
babla,abusive
bhosidika,abusive
bsdke,abusive
bsdk,abusive
bhosda,abusive
bhonsriwala,abusive
bhonsdiwala,abusive
ched,abusive
chut,abusive
chod,abusive
chodu,abusive
chodra,abusive
choochi,abusive
chuchi,abusive
gaandu,abusive
gandu,abusive
gaand,abusive
lavda,abusive
lawda,abusive
lauda,abusive
lund�,abusive
balchod,abusive
lavander,abusive
muth,abusive
maacho,abusive
mammey,abusive
tatte,abusive
toto,abusive
toota,abusive
backar,abusive
bhandwe,abusive
bhosadchod,abusive
bhosad,abusive
bumchod,abusive
bum,abusive
bur,abusive
chatani,abusive
cunt,abusive
cuntmama,abusive
chipkali,abusive
pasine,abusive
jhaat,abusive
chodela,abusive
bhagatchod,abusive
chhola,abusive
chudai,abusive
chudaikhana,abusive
chunni,abusive
choot,abusive
bhoot,abusive
dhakkan,abusive
bhajiye,abusive
fateychu,abusive
gandnatije,abusive
lundtopi,abusive
gaandu,abusive
gaandfat,abusive
gaandmasti,abusive
makhanchudai,abusive
gaandmarau,abusive
gandu,abusive
chaatu,abusive
beej,abusive
choosu,abusive
fakeerchod,abusive
lundoos,abusive
shorba,abusive
binbheja,abusive
bhadwe,abusive
parichod,abusive
nirodh,abusive
pucchi,abusive
baajer,abusive
choud,abusive
bhosda,abusive
sadi,abusive
choos,abusive
maka,abusive
chinaal,abusive
gadde,abusive
joon,abusive
chullugand,abusive
doob,abusive
khatmal,abusive
gandkate,abusive
bambu,abusive
lassan,abusive
danda,abusive
keera,abusive
keeda,abusive
hazaarchu,abusive
paidaishikeeda,abusive
kali,abusive
safaid,abusive
poot,abusive
behendi,abusive
chus,abusive
machudi,abusive
chodoonga,abusive
baapchu,abusive
laltern,abusive
suhaagchudai,abusive
raatchuda,abusive
kaalu,abusive
neech,abusive
chikna,abusive
meetha,abusive
beechka,abusive
chooche,abusive
patichod,abusive
rundi,abusive
makkhi,abusive
biwichod,abusive
chodhunga,abusive
haathi,abusive
kute,abusive
jhanten,abusive
kaat,abusive
gandi,abusive
gadha,abusive
bimaar,abusive
badboodar,abusive
dum,abusive
raandsaala,abusive
phudi,abusive
chute,abusive
kussi,abusive
khandanchod,abusive
ghussa,abusive
maarey,abusive
chipkili,abusive
unday,abusive
budh,abusive
chaarpai,abusive
chodun,abusive
chatri,abusive
chode,abusive
chodho,abusive
mullekatue,abusive
mullikatui,abusive
mullekebaal,abusive
momedankatue,abusive
katua,abusive
chutiyapa,abusive
bc,abusive
mc,abusive
chudwaya,abusive
kutton,abusive
jungli,abusive
vahiyaat,abusive
jihadi,abusive
atankvadi,abusive
atankwadi,abusive
aatanki,abusive
jatt,abusive
backward caste,abusive
dharam,abusive
hindu,abusive
muslim,abusive
boobs,abusive
chut,abusive
choot ,abusive
boobies,abusive
b00bs,abusive
b00bies,abusive
pussy ,abusive
possy,abusive
fuck ,abusive
bitch,abusive
motherfucker,abusive
fucker,abusive
sisterfucker,abusive
chutiya,abusive
chutiyapa,abusive
